,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
35,2023-06-20,4078270,504426986,123.5,124.5,122.5,124.5,1.5,2135
36,2023-06-21,4113587,509344295,123.0,124.5,123.0,124.0,-0.5,2550
37,2023-06-26,6689259,822694418,124.0,124.0,122.0,123.0,-1.0,4340
38,2023-06-27,11428487,1265274394,112.5,113.0,108.0,108.0,0.0,5588
39,2023-06-28,4282299,471913045,110.0,111.5,109.0,111.0,3.0,2722
40,2023-06-29,3319836,367148081,111.0,112.0,109.5,111.0,0.0,2486
41,2023-06-30,2448940,269081649,111.0,111.0,109.5,110.0,-1.0,1648
42,2023-07-03,2602428,285024431,110.5,111.0,108.5,110.0,0.0,2005
43,2023-07-04,2347026,256507662,110.0,110.5,109.0,109.0,-1.0,1835
44,2023-07-05,1362515,149184288,109.0,110.0,109.0,109.5,0.5,1167
45,2023-07-06,2816488,313617062,109.5,112.0,109.5,111.5,2.0,2242
46,2023-07-07,2615554,285664698,111.0,111.0,108.0,109.5,-2.0,2380
47,2023-07-10,1223697,133254147,109.0,109.5,108.5,109.0,-0.5,975
48,2023-07-11,1623651,177578600,108.5,110.0,108.5,110.0,1.0,1189
49,2023-07-12,1995115,220473772,109.5,111.0,109.5,111.0,1.0,1397
50,2023-07-13,2099104,230083314,112.0,112.0,109.0,109.0,-2.0,1561
51,2023-07-14,1663789,181173473,109.5,110.0,108.5,108.5,-0.5,1330
52,2023-07-17,2306099,253924127,109.0,111.0,109.0,110.5,2.0,1720
53,2023-07-18,3964684,438432299,110.5,111.5,109.5,111.5,1.0,2087
54,2023-07-19,4519147,495722846,112.0,112.0,109.0,109.0,-2.5,2540
55,2023-07-20,4052395,447836063,110.0,111.5,109.5,111.0,2.0,1949
56,2023-07-21,4348469,479479869,111.0,112.0,109.5,110.5,-0.5,2303
57,2023-07-24,4110973,450556707,111.0,111.0,109.0,109.5,-1.0,2100
58,2023-07-25,2496293,275701239,110.5,111.5,109.0,111.0,1.5,1700
59,2023-07-26,1619324,179017202,110.5,111.5,110.0,110.0,-1.0,1362
60,2023-07-27,1921776,213849088,111.0,112.0,110.5,111.0,1.0,1533
61,2023-07-28,1859023,205314949,111.5,112.0,110.0,110.5,-0.5,1470
62,2023-07-31,17072532,2056661821,116.5,121.5,116.5,120.5,10.0,8851
